Id,Price
725,155423.45
15856,219086.36
5480,233283.17
15664,308967.39
14275,137801.58
7633,205044.97
13329,167282.73
5502,229014.46
4220,282099.51
11538,212932.73
15975,281435.37
3310,229037.65
9286,151495.23
11260,197523.64
5214,107189.07
11307,184121.14
13543,362521.77
615,167357.23
3495,228362.21
2321,226385.34
12046,184588.88
16688,162447.37
783,155578.87
13454,176696.82
12190,266724.4
11160,117880.23
10291,198766.89
891,286060.26
3818,250243.81
8317,165332.53
4922,178970.72
1257,231367.94
9348,255806.53
4176,190537.44
10704,176335.17
6624,118571.36
5428,187882.52
12749,183452.07
8994,214663.01
3047,171427.25
9519,204184.2
14081,262915.87
8334,244734.52
6343,182971.45
14788,130395.37
15748,320393.78
153,241993.01
14149,187173.03
269,168553.47
5452,134901.2
721,164346.0
5079,344489.18
2831,134608.68
10614,107824.62
10131,263261.32
9996,298087.59
3061,201167.81
11733,332720.64
3726,266149.85
10929,215355.4
9011,130053.48
16182,306054.76
4976,187952.68
9897,246486.25
1872,153952.09
9205,340856.28
5403,380730.68
14074,204684.06
6268,148167.34
14232,186319.23
8532,252134.84
7034,325993.72
3133,172535.24
8596,202853.62
12389,246059.41
14462,176563.89
8860,334257.46
8377,307358.4
6367,304817.43
6917,245577.21
4216,197586.29
5806,173438.72
5438,161203.34
6632,194528.87
2650,149752.96
5396,223685.01
4044,151268.04
1345,222228.71
856,158808.08
12791,262806.74
14641,139778.3
1919,173467.95
10749,186383.42
15554,192745.71
15834,199716.85
1355,144332.2
15451,183970.05
12401,202746.19
10290,173136.26
9462,112072.43
3420,133147.88
12262,230384.32
8949,304270.97
15567,229152.0
16389,161733.84
7809,88176.79
8990,161250.47
16089,236861.95
5132,115254.69
1619,291367.54
2428,80786.11
16741,164828.45
13193,225212.91
12588,554373.72
5067,168202.3
2292,181450.44
12578,158395.95
2147,174605.67
10419,254565.19
11492,217070.23
3006,210927.39
8761,195206.12
15371,395823.36
16367,163581.1
6317,264399.76
10878,270507.7
3895,161525.94
8041,159000.06
13428,445952.54
14669,151813.03
1006,180824.06
12271,180081.91
3764,424601.41
7675,201336.19
11709,254962.82
8629,150552.8
1105,398661.65
6096,187205.44
11727,216736.81
5157,201109.89
3679,146865.82
